Linux 4.15.0-33-generic (uspanzto20) 	09/07/2018 	_x86_64_	(8 CPU)

02:28:56 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:04 PM       6      0.99      0.00      0.99      0.00      0.00     98.02
02:29:04 PM       7      0.00      0.00      0.99      0.00      0.00     99.01

02:29:04 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:05 PM     all      0.63      0.00      0.38      0.13      0.00     98.87
02:29:05 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:29:05 PM       1      1.05      0.00      1.05      0.00      0.00     97.89
02:29:05 PM       2      2.00      0.00      0.00      0.00      0.00     98.00
02:29:05 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:05 PM       4      0.00      0.00      0.00      0.99      0.00     99.01
02:29:05 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:05 PM       6      0.99      0.00      0.99      0.00      0.00     98.02
02:29:05 PM       7      1.00      0.00      0.00      0.00      0.00     99.00

02:29:05 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:06 PM     all      0.38      0.00      0.25      0.00      0.00     99.37
02:29:06 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:29:06 PM       1      1.04      0.00      1.04      0.00      0.00     97.92
02:29:06 PM       2      1.01      0.00      0.00      0.00      0.00     98.99
02:29:06 PM       3      0.00      0.00      0.99      0.00      0.00     99.01
02:29:06 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:06 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:06 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:29:06 PM       7      0.00      0.00      1.00      0.00      0.00     99.00

02:29:06 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:07 PM     all      0.38      0.00      0.25      0.13      0.00     99.24
02:29:07 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:29:07 PM       1      0.00      0.00      0.00      1.08      0.00     98.92
02:29:07 PM       2      1.00      0.00      0.00      0.00      0.00     99.00
02:29:07 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:07 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:07 PM       5      0.99      0.00      0.99      0.00      0.00     98.02
02:29:07 PM       6      0.99      0.00      0.00      0.00      0.00     99.01
02:29:07 PM       7      1.00      0.00      0.00      0.00      0.00     99.00

02:29:07 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:08 PM     all      0.25      0.00      0.00      0.00      0.00     99.75
02:29:08 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:29:08 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
02:29:08 PM       2      1.01      0.00      0.00      0.00      0.00     98.99
02:29:08 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:08 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:08 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:08 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:29:08 PM       7      1.00      0.00      0.00      0.00      0.00     99.00

02:29:08 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:09 PM     all      0.38      0.00      0.38      0.00      0.00     99.25
02:29:09 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:29:09 PM       1      1.05      0.00      1.05      0.00      0.00     97.89
02:29:09 PM       2      1.00      0.00      1.00      0.00      0.00     98.00
02:29:09 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:09 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:09 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:09 PM       6      0.00      0.00      1.00      0.00      0.00     99.00
02:29:09 PM       7      1.00      0.00      0.00      0.00      0.00     99.00

02:29:09 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:10 PM     all      0.25      0.00      0.38      0.00      0.00     99.37
02:29:10 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:29:10 PM       1      0.00      0.00      1.06      0.00      0.00     98.94
02:29:10 PM       2      0.00      0.00      0.99      0.00      0.00     99.01
02:29:10 PM       3      0.99      0.00      0.00      0.00      0.00     99.01
02:29:10 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:10 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:10 PM       6      0.99      0.00      0.00      0.00      0.00     99.01
02:29:10 PM       7      0.99      0.00      0.99      0.00      0.00     98.02

02:29:10 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:11 PM     all      0.13      0.00      0.38      0.00      0.00     99.50
02:29:11 PM       0      0.00      0.00      1.01      0.00      0.00     98.99
02:29:11 PM       1      0.00      0.00      1.06      0.00      0.00     98.94
02:29:11 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:11 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:11 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:11 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:11 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:29:11 PM       7      1.00      0.00      1.00      0.00      0.00     98.00

02:29:11 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:12 PM     all      0.38      0.00      0.13      0.13      0.00     99.37
02:29:12 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
02:29:12 PM       1      0.00      0.00      1.06      1.06      0.00     97.87
02:29:12 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:12 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:12 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:12 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:12 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:29:12 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

02:29:12 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:13 PM     all      0.25      0.00      0.25      0.00      0.00     99.50
02:29:13 PM       0      0.99      0.00      0.99      0.00      0.00     98.02
02:29:13 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
02:29:13 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:13 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:13 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:13 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:13 PM       6      1.98      0.00      0.00      0.00      0.00     98.02
02:29:13 PM       7      0.00      0.00      0.99      0.00      0.00     99.01

02:29:13 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:14 PM     all      0.38      0.00      0.00      0.00      0.00     99.62
02:29:14 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
02:29:14 PM       1      1.05      0.00      1.05      0.00      0.00     97.89
02:29:14 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:14 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:14 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:14 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:14 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:29:14 PM       7      1.00      0.00      0.00      0.00      0.00     99.00

02:29:14 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:15 PM     all      0.25      0.00      0.38      0.00      0.00     99.37
02:29:15 PM       0      1.00      0.00      1.00      0.00      0.00     98.00
02:29:15 PM       1      0.00      0.00      1.06      0.00      0.00     98.94
02:29:15 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:15 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:15 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:15 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:15 PM       6      1.00      0.00      0.00      0.00      0.00     99.00
02:29:15 PM       7      0.00      0.00      1.00      0.00      0.00     99.00

02:29:15 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:16 PM     all      0.25      0.00      0.25      0.00      0.00     99.50
02:29:16 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
02:29:16 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
02:29:16 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:16 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:16 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:16 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:16 PM       6      0.99      0.00      0.00      0.00      0.00     99.01
02:29:16 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

02:29:16 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:17 PM     all      0.25      0.00      0.50      0.13      0.00     99.12
02:29:17 PM       0      0.00      0.00      1.00      0.00      0.00     99.00
02:29:17 PM       1      1.01      0.00      4.04      0.00      0.00     94.95
02:29:17 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:17 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:17 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:17 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:17 PM       6      0.99      0.00      0.00      0.00      0.00     99.01
02:29:17 PM       7      0.00      0.00      1.00      1.00      0.00     98.00

02:29:17 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:18 PM     all      0.25      0.00      0.25      0.00      0.00     99.50
02:29:18 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
02:29:18 PM       1      0.00      0.00      1.08      0.00      0.00     98.92
02:29:18 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:18 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:18 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:18 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:18 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:29:18 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

02:29:18 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:19 PM     all      0.25      0.00      0.13      0.00      0.00     99.62
02:29:19 PM       0      1.00      0.00      1.00      0.00      0.00     98.00
02:29:19 PM       1      0.00      0.00      1.05      0.00      0.00     98.95
02:29:19 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:19 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:19 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:19 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:19 PM       6      0.99      0.00      0.00      0.00      0.00     99.01
02:29:19 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

02:29:19 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:20 PM     all      0.25      0.00      0.25      0.00      0.00     99.50
02:29:20 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
02:29:20 PM       1      1.05      0.00      1.05      0.00      0.00     97.89
02:29:20 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:20 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:20 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:20 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:20 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:29:20 PM       7      1.00      0.00      0.00      0.00      0.00     99.00

02:29:20 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:21 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
02:29:21 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
02:29:21 PM       1      0.00      0.00      1.06      0.00      0.00     98.94
02:29:21 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:21 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:21 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:21 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:21 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:29:21 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

02:29:21 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:22 PM     all      0.50      0.00      0.38      0.13      0.00     99.00
02:29:22 PM       0      1.00      0.00      0.00      1.00      0.00     98.00
02:29:22 PM       1      1.03      0.00      3.09      0.00      0.00     95.88
02:29:22 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:22 PM       3      0.99      0.00      0.00      0.00      0.00     99.01
02:29:22 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:22 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:22 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:29:22 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

02:29:22 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:23 PM     all      0.25      0.00      0.13      0.00      0.00     99.62
02:29:23 PM       0      0.00      0.00      1.01      0.00      0.00     98.99
02:29:23 PM       1      1.05      0.00      1.05      0.00      0.00     97.89
02:29:23 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:23 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:23 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:23 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:23 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:29:23 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

02:29:23 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:24 PM     all      0.13      0.00      0.13      0.00      0.00     99.75
02:29:24 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
02:29:24 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
02:29:24 PM       2      0.99      0.00      0.00      0.00      0.00     99.01
02:29:24 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:24 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:24 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:24 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:29:24 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

02:29:24 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:25 PM     all      0.13      0.00      0.75      0.00      0.00     99.12
02:29:25 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
02:29:25 PM       1      0.00      0.00      4.12      0.00      0.00     95.88
02:29:25 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:25 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:25 PM       4      0.99      0.00      0.00      0.00      0.00     99.01
02:29:25 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:25 PM       6      0.00      0.00      0.99      0.00      0.00     99.01
02:29:25 PM       7      0.00      0.00      1.00      0.00      0.00     99.00

02:29:25 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:26 PM     all      0.38      0.00      0.50      0.00      0.00     99.12
02:29:26 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
02:29:26 PM       1      1.04      0.00      2.08      0.00      0.00     96.88
02:29:26 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:26 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:26 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:26 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:26 PM       6      1.00      0.00      0.00      0.00      0.00     99.00
02:29:26 PM       7      0.00      0.00      1.98      0.00      0.00     98.02

02:29:26 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:27 PM     all      0.38      0.00      0.50      0.13      0.00     99.00
02:29:27 PM       0      2.00      0.00      0.00      1.00      0.00     97.00
02:29:27 PM       1      0.00      0.00      4.12      0.00      0.00     95.88
02:29:27 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:27 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:27 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:27 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:27 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
