Time,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
2018-09-07 14:36:58,wlp3s0,1.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:59,enp0s31f6,2404.00,964.00,3555.62,65.95,0.00,0.00,0.00,29.13
2018-09-07 14:36:59,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:59,wlp3s0,2.00,0.00,1.04,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:00,enp0s31f6,2315.00,921.00,3424.85,62.99,0.00,0.00,0.00,28.06
2018-09-07 14:37:00,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:00,wlp3s0,11.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:01,enp0s31f6,2253.00,901.00,3329.53,61.63,0.00,0.00,0.00,27.28
2018-09-07 14:37:01,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:01,wlp3s0,10.00,1.00,1.26,0.07,0.00,0.00,0.00,0.00
2018-09-07 14:37:02,enp0s31f6,2405.00,966.00,3556.52,66.09,0.00,0.00,0.00,29.14
2018-09-07 14:37:02,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:02,wlp3s0,1.00,0.00,0.37,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:03,enp0s31f6,2402.00,956.00,3553.82,65.38,0.00,0.00,0.00,29.11
2018-09-07 14:37:03,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:03,wlp3s0,20.00,0.00,4.39,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:04,enp0s31f6,2184.00,879.00,3224.47,60.13,0.00,0.00,0.00,26.41
2018-09-07 14:37:04,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:04,wlp3s0,5.00,0.00,1.27,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:05,enp0s31f6,2386.00,970.00,3529.52,66.34,0.00,0.00,0.00,28.91
2018-09-07 14:37:05,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:05,wlp3s0,9.00,0.00,2.06,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:06,enp0s31f6,2404.00,962.00,3554.11,65.80,0.00,0.00,0.00,29.12
2018-09-07 14:37:06,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:06,wlp3s0,16.00,0.00,3.67,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:07,enp0s31f6,2288.00,918.00,3383.41,62.79,0.00,0.00,0.00,27.72
2018-09-07 14:37:07,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:07,wlp3s0,3.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:08,enp0s31f6,2286.00,932.00,3374.71,63.80,0.00,0.00,0.00,27.65
2018-09-07 14:37:08,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:08,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:09,enp0s31f6,2385.15,961.39,3519.83,65.75,0.00,0.00,0.00,28.83
2018-09-07 14:37:09,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:09,wlp3s0,8.91,0.99,1.52,0.07,0.00,0.00,0.00,0.00
2018-09-07 14:37:10,enp0s31f6,2395.00,965.00,3542.86,66.01,0.00,0.00,0.00,29.02
2018-09-07 14:37:10,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:10,wlp3s0,7.00,0.00,0.88,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:11,enp0s31f6,2171.00,870.00,3211.38,59.50,0.00,0.00,0.00,26.31
2018-09-07 14:37:11,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
