Time,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
2018-09-07 15:19:36,enp0s31f6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:19:36,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:19:36,wlp3s0,1.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:19:37,enp0s31f6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:19:37,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:19:37,wlp3s0,2.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:19:38,enp0s31f6,23.00,22.00,8.82,5.61,0.00,0.00,0.00,0.07
2018-09-07 15:19:38,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:19:38,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:19:39,enp0s31f6,10.00,8.00,4.01,2.30,0.00,0.00,0.00,0.03
2018-09-07 15:19:39,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:19:39,wlp3s0,2.00,0.00,0.27,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:19:40,enp0s31f6,2734.00,1109.00,4032.84,75.87,0.00,0.00,0.00,33.04
2018-09-07 15:19:40,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:19:40,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:19:41,enp0s31f6,3246.00,1310.00,4786.95,89.59,0.00,0.00,0.00,39.21
2018-09-07 15:19:41,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:19:41,wlp3s0,5.00,1.00,0.52,0.07,0.00,0.00,0.00,0.00
2018-09-07 15:19:42,enp0s31f6,2772.00,1146.00,4091.50,78.38,0.00,0.00,0.00,33.52
2018-09-07 15:19:42,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:19:42,wlp3s0,9.00,0.00,0.89,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:19:43,enp0s31f6,3079.00,1236.00,4549.50,84.50,0.00,0.00,0.00,37.27
2018-09-07 15:19:43,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:19:43,wlp3s0,5.00,0.00,1.55,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:19:44,enp0s31f6,2729.00,1102.00,4031.82,75.38,0.00,0.00,0.00,33.03
2018-09-07 15:19:44,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:19:44,wlp3s0,8.00,0.00,2.68,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:19:45,enp0s31f6,3358.00,1366.00,4953.46,93.43,0.00,0.00,0.00,40.58
2018-09-07 15:19:45,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:19:45,wlp3s0,6.00,0.00,0.89,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:19:46,enp0s31f6,2558.00,1043.00,3777.40,71.35,0.00,0.00,0.00,30.94
