Time,CPU,%user,%nice,%system,%iowait,%steal,%idle
2018-09-07 15:19:45,7,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:46,0,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:46,1,0.00,0.00,1.04,0.00,0.00,98.96
2018-09-07 15:19:46,2,1.00,0.00,1.00,0.00,0.00,98.00
2018-09-07 15:19:46,3,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:46,4,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:46,5,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:46,6,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:46,7,0.00,0.00,0.00,1.00,0.00,99.00
2018-09-07 15:19:47,0,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:47,1,1.03,0.00,1.03,0.00,0.00,97.94
2018-09-07 15:19:47,2,2.97,0.00,0.00,0.00,0.00,97.03
2018-09-07 15:19:47,3,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:47,4,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:47,5,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:47,6,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:47,7,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:48,0,1.00,0.00,1.00,0.00,0.00,98.00
2018-09-07 15:19:48,1,0.00,0.00,1.04,0.00,0.00,98.96
2018-09-07 15:19:48,2,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:48,3,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:48,4,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:48,5,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:48,6,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:48,7,0.00,0.00,1.00,0.00,0.00,99.00
2018-09-07 15:19:49,0,1.00,0.00,1.00,0.00,0.00,98.00
2018-09-07 15:19:49,1,1.03,0.00,1.03,0.00,0.00,97.94
2018-09-07 15:19:49,2,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:49,3,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:49,4,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:49,5,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:49,6,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:49,7,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:50,0,1.00,0.00,0.00,0.00,0.00,99.00
2018-09-07 15:19:50,1,1.04,0.00,1.04,0.00,0.00,97.92
2018-09-07 15:19:50,2,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:50,3,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:50,4,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:50,5,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:50,6,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:50,7,0.98,0.00,0.98,0.00,0.00,98.04
2018-09-07 15:19:51,0,1.00,0.00,1.00,1.00,0.00,97.00
2018-09-07 15:19:51,1,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:51,2,0.00,0.00,1.00,0.00,0.00,99.00
2018-09-07 15:19:51,3,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:51,4,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:51,5,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:51,6,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:51,7,0.00,0.00,1.00,0.00,0.00,99.00
2018-09-07 15:19:52,0,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:52,1,1.03,0.00,1.03,0.00,0.00,97.94
2018-09-07 15:19:52,2,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:52,3,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:52,4,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:52,5,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:52,6,0.00,0.00,0.99,0.00,0.00,99.01
2018-09-07 15:19:52,7,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:53,0,1.00,0.00,0.00,0.00,0.00,99.00
2018-09-07 15:19:53,1,0.00,0.00,2.06,0.00,0.00,97.94
2018-09-07 15:19:53,2,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:53,3,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:53,4,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:53,5,0.99,0.00,0.00,0.00,0.00,99.01
2018-09-07 15:19:53,6,0.00,0.00,1.00,0.00,0.00,99.00
2018-09-07 15:19:53,7,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:54,0,1.00,0.00,1.00,0.00,0.00,98.00
2018-09-07 15:19:54,1,2.06,0.00,0.00,0.00,0.00,97.94
2018-09-07 15:19:54,2,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:54,3,0.99,0.00,0.00,0.00,0.00,99.01
2018-09-07 15:19:54,4,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:54,5,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:54,6,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:54,7,1.00,0.00,0.00,0.00,0.00,99.00
2018-09-07 15:19:55,0,1.98,0.00,0.00,0.00,0.00,98.02
2018-09-07 15:19:55,1,1.05,0.00,0.00,0.00,0.00,98.95
2018-09-07 15:19:55,2,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:55,3,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:55,4,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:55,5,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:55,6,0.00,0.00,0.99,0.00,0.00,99.01
2018-09-07 15:19:55,7,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:56,0,1.01,0.00,0.00,0.00,0.00,98.99
2018-09-07 15:19:56,1,1.03,0.00,2.06,1.03,0.00,95.88
2018-09-07 15:19:56,2,0.00,0.00,1.00,0.00,0.00,99.00
2018-09-07 15:19:56,3,0.00,0.00,1.98,0.00,0.00,98.02
2018-09-07 15:19:56,4,0.99,0.00,0.00,0.00,0.00,99.01
2018-09-07 15:19:56,5,1.00,0.00,0.00,0.00,0.00,99.00
2018-09-07 15:19:56,6,0.00,0.00,1.00,0.00,0.00,99.00
2018-09-07 15:19:56,7,0.00,0.00,0.99,0.00,0.00,99.01
2018-09-07 15:19:57,0,1.00,0.00,1.00,0.00,0.00,98.00
2018-09-07 15:19:57,1,0.00,0.00,2.04,0.00,0.00,97.96
2018-09-07 15:19:57,2,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:57,3,0.99,0.00,0.00,0.00,0.00,99.01
2018-09-07 15:19:57,4,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:57,5,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:57,6,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:57,7,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:58,0,1.00,0.00,0.00,0.00,0.00,99.00
2018-09-07 15:19:58,1,1.02,0.00,2.04,0.00,0.00,96.94
2018-09-07 15:19:58,2,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:58,3,0.00,0.00,1.98,0.00,0.00,98.02
2018-09-07 15:19:58,4,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:58,5,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:58,6,0.00,0.00,0.99,0.00,0.00,99.01
2018-09-07 15:19:58,7,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:59,0,0.00,0.00,1.00,0.00,0.00,99.00
2018-09-07 15:19:59,1,0.00,0.00,1.05,0.00,0.00,98.95
2018-09-07 15:19:59,2,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:59,3,1.00,0.00,0.00,0.00,0.00,99.00
2018-09-07 15:19:59,4,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:59,5,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:59,6,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:19:59,7,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:20:00,0,0.99,0.00,0.99,0.00,0.00,98.02
2018-09-07 15:20:00,1,0.00,0.00,2.06,0.00,0.00,97.94
2018-09-07 15:20:00,2,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:20:00,3,1.98,0.00,0.00,0.00,0.00,98.02
2018-09-07 15:20:00,4,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:20:00,5,0.00,0.00,1.01,0.00,0.00,98.99
2018-09-07 15:20:00,6,0.00,0.00,1.00,0.00,0.00,99.00
2018-09-07 15:20:00,7,0.99,0.00,0.00,0.00,0.00,99.01
2018-09-07 15:20:01,0,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:20:01,1,0.00,0.00,1.05,0.00,0.00,98.95
2018-09-07 15:20:01,2,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:20:01,3,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:20:01,4,0.00,0.00,1.00,0.00,0.00,99.00
2018-09-07 15:20:01,5,1.98,0.00,0.00,0.00,0.00,98.02
2018-09-07 15:20:01,6,1.98,0.00,0.00,0.00,0.00,98.02
2018-09-07 15:20:01,7,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:20:02,0,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:20:02,1,0.00,0.00,1.04,1.04,0.00,97.92
2018-09-07 15:20:02,2,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:20:02,3,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:20:02,4,0.00,0.00,0.99,0.00,0.00,99.01
2018-09-07 15:20:02,5,2.00,0.00,0.00,0.00,0.00,98.00
2018-09-07 15:20:02,6,0.99,0.00,0.00,0.00,0.00,99.01
2018-09-07 15:20:02,7,1.00,0.00,0.00,0.00,0.00,99.00
2018-09-07 15:20:03,0,1.00,0.00,0.00,0.00,0.00,99.00
2018-09-07 15:20:03,1,1.98,0.00,3.96,0.00,0.00,94.06
2018-09-07 15:20:03,2,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:20:03,3,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:20:03,4,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:20:03,5,1.00,0.00,0.00,0.00,0.00,99.00
2018-09-07 15:20:03,6,0.00,0.00,1.00,0.00,0.00,99.00
2018-09-07 15:20:03,7,0.00,0.00,0.00,0.00,0.00,100.00
