Linux 4.15.0-33-generic (uspanzto20) 	09/07/2018 	_x86_64_	(8 CPU)

02:36:39 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:36:40 PM     all      2.73      0.00      0.25      0.00      0.00     97.03
02:36:40 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:36:40 PM       1      0.00      0.00      1.00      0.00      0.00     99.00
02:36:40 PM       2      1.02      0.00      0.00      0.00      0.00     98.98
02:36:40 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:36:40 PM       4      4.04      0.00      0.00      0.00      0.00     95.96
02:36:40 PM       5      2.94      0.00      0.00      0.00      0.00     97.06
02:36:40 PM       6      1.01      0.00      1.01      0.00      0.00     97.98
02:36:40 PM       7     10.91      0.00      0.00      0.00      0.00     89.09

02:36:40 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:36:41 PM     all      1.99      0.00      0.50      0.00      0.00     97.52
02:36:41 PM       0      6.54      0.00      1.87      0.00      0.00     91.59
02:36:41 PM       1      1.00      0.00      0.00      0.00      0.00     99.00
02:36:41 PM       2      1.00      0.00      0.00      0.00      0.00     99.00
02:36:41 PM       3      2.00      0.00      2.00      0.00      0.00     96.00
02:36:41 PM       4      2.00      0.00      0.00      0.00      0.00     98.00
02:36:41 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:36:41 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:36:41 PM       7      2.00      0.00      1.00      0.00      0.00     97.00

02:36:41 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:36:42 PM     all      0.38      0.00      0.13      0.00      0.00     99.50
02:36:42 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:36:42 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
02:36:42 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:36:42 PM       3      1.98      0.00      0.99      0.00      0.00     97.03
02:36:42 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:36:42 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:36:42 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:36:42 PM       7      1.00      0.00      0.00      0.00      0.00     99.00

02:36:42 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:36:43 PM     all      0.62      0.00      0.62      0.00      0.00     98.75
02:36:43 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:36:43 PM       1      0.00      0.00      1.01      0.00      0.00     98.99
02:36:43 PM       2      0.00      0.00      1.00      0.00      0.00     99.00
02:36:43 PM       3      2.00      0.00      1.00      0.00      0.00     97.00
02:36:43 PM       4      0.00      0.00      0.99      0.00      0.00     99.01
02:36:43 PM       5      0.98      0.00      0.98      0.00      0.00     98.04
02:36:43 PM       6      1.96      0.00      0.98      0.00      0.00     97.06
02:36:43 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

02:36:43 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:36:44 PM     all      0.50      0.00      0.87      0.00      0.00     98.63
02:36:44 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
02:36:44 PM       1      1.00      0.00      2.00      0.00      0.00     97.00
02:36:44 PM       2      0.99      0.00      0.00      0.00      0.00     99.01
02:36:44 PM       3      1.00      0.00      1.00      0.00      0.00     98.00
02:36:44 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:36:44 PM       5      0.98      0.00      1.96      0.00      0.00     97.06
02:36:44 PM       6      0.00      0.00      1.00      0.00      0.00     99.00
02:36:44 PM       7      1.00      0.00      0.00      0.00      0.00     99.00

02:36:44 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:36:45 PM     all      0.13      0.00      0.25      0.13      0.00     99.50
02:36:45 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:36:45 PM       1      0.00      0.00      1.03      0.00      0.00     98.97
02:36:45 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:36:45 PM       3      1.00      0.00      1.00      0.00      0.00     98.00
02:36:45 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:36:45 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:36:45 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:36:45 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

02:36:45 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:36:46 PM     all      0.13      0.00      0.25      0.00      0.00     99.62
02:36:46 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:36:46 PM       1      0.00      0.00      1.03      0.00      0.00     98.97
02:36:46 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:36:46 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:36:46 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:36:46 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:36:46 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:36:46 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

02:36:46 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:36:47 PM     all      0.50      0.00      0.62      0.00      0.00     98.88
02:36:47 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:36:47 PM       1      0.99      0.00      2.97      0.00      0.00     96.04
02:36:47 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:36:47 PM       3      1.00      0.00      0.00      0.00      0.00     99.00
02:36:47 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:36:47 PM       5      0.99      0.00      0.00      0.00      0.00     99.01
02:36:47 PM       6      0.00      0.00      1.98      0.00      0.00     98.02
02:36:47 PM       7      0.00      0.00      1.00      0.00      0.00     99.00

