Time,CPU,%user,%nice,%system,%iowait,%steal,%idle
2018-09-07 14:28:57,0,1.01,0.00,0.00,0.00,0.00,98.99
2018-09-07 14:28:57,1,2.04,0.00,0.00,0.00,0.00,97.96
2018-09-07 14:28:57,2,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 14:28:57,3,1.01,0.00,0.00,0.00,0.00,98.99
2018-09-07 14:28:57,4,1.00,0.00,0.00,0.00,0.00,99.00
2018-09-07 14:28:57,5,0.99,0.00,0.99,0.00,0.00,98.02
2018-09-07 14:28:57,6,1.00,0.00,1.00,0.00,0.00,98.00
2018-09-07 14:28:57,7,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 14:28:58,0,0.00,0.00,1.00,0.00,0.00,99.00
2018-09-07 14:28:58,1,0.00,0.00,1.00,0.00,0.00,99.00
2018-09-07 14:28:58,2,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 14:28:58,3,1.96,0.00,0.98,0.00,0.00,97.06
2018-09-07 14:28:58,4,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 14:28:58,5,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 14:28:58,6,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 14:28:58,7,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 14:28:59,0,3.92,0.00,0.98,0.00,0.00,95.10
2018-09-07 14:28:59,1,0.00,0.00,2.02,0.00,0.00,97.98
2018-09-07 14:28:59,2,1.96,0.00,1.96,0.00,0.00,96.08
2018-09-07 14:28:59,3,1.00,0.00,1.00,0.00,0.00,98.00
2018-09-07 14:28:59,4,0.99,0.00,0.99,0.00,0.00,98.02
2018-09-07 14:28:59,5,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 14:28:59,6,2.00,0.00,0.00,0.00,0.00,98.00
2018-09-07 14:28:59,7,1.00,0.00,0.00,0.00,0.00,99.00
2018-09-07 14:29:00,0,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 14:29:00,1,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 14:29:00,2,3.00,0.00,1.00,0.00,0.00,96.00
2018-09-07 14:29:00,3,1.01,0.00,0.00,0.00,0.00,98.99
2018-09-07 14:29:00,4,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 14:29:00,5,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 14:29:00,6,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 14:29:00,7,0.99,0.00,0.99,0.00,0.00,98.02
2018-09-07 14:29:01,0,0.98,0.00,0.98,0.00,0.00,98.04
2018-09-07 14:29:01,1,1.02,0.00,0.00,0.00,0.00,98.98
2018-09-07 14:29:01,2,1.01,0.00,0.00,0.00,0.00,98.99
2018-09-07 14:29:01,3,0.00,0.00,0.00,0.00,0.00,100.00
