Time,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
2018-09-07 15:25:11,wlp3s0,2.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:12,enp0s31f6,2351.00,952.00,3467.85,65.10,0.00,0.00,0.00,28.41
2018-09-07 15:25:12,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:12,wlp3s0,2.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:13,enp0s31f6,2229.00,898.00,3284.69,61.41,0.00,0.00,0.00,26.91
2018-09-07 15:25:13,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:13,wlp3s0,4.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:14,enp0s31f6,2411.00,966.00,3553.07,66.06,0.00,0.00,0.00,29.11
2018-09-07 15:25:14,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:14,wlp3s0,3.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:15,enp0s31f6,2410.00,968.00,3552.85,66.18,0.00,0.00,0.00,29.10
2018-09-07 15:25:15,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:15,wlp3s0,1.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:16,enp0s31f6,2215.00,891.00,3264.51,60.93,0.00,0.00,0.00,26.74
2018-09-07 15:25:16,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:16,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:17,enp0s31f6,2366.00,948.00,3486.36,64.83,0.00,0.00,0.00,28.56
2018-09-07 15:25:17,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
