Linux 4.15.0-33-generic (uspanzto20) 	09/07/2018 	_x86_64_	(8 CPU)

03:24:52 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:25:00 PM       6      0.99      0.00      0.00      0.00      0.00     99.01
03:25:00 PM       7      0.00      0.00      1.00      0.00      0.00     99.00

03:25:00 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:25:01 PM     all      0.25      0.00      0.25      0.00      0.00     99.50
03:25:01 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
03:25:01 PM       1      2.00      0.00      0.00      0.00      0.00     98.00
03:25:01 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
03:25:01 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:25:01 PM       4      0.00      0.00      2.04      0.00      0.00     97.96
03:25:01 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
03:25:01 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
03:25:01 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

03:25:01 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:25:02 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
03:25:02 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
03:25:02 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
03:25:02 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
03:25:02 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:25:02 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
03:25:02 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
03:25:02 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
03:25:02 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

03:25:02 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:25:03 PM     all      0.25      0.00      0.25      0.13      0.00     99.37
03:25:03 PM       0      0.00      0.00      0.99      0.00      0.00     99.01
03:25:03 PM       1      0.00      0.00      1.00      1.00      0.00     98.00
03:25:03 PM       2      0.00      0.00      0.00      1.00      0.00     99.00
03:25:03 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:25:03 PM       4      1.01      0.00      1.01      0.00      0.00     97.98
03:25:03 PM       5      1.00      0.00      0.00      0.00      0.00     99.00
03:25:03 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
03:25:03 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

03:25:03 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:25:04 PM     all      0.13      0.00      0.38      0.00      0.00     99.50
03:25:04 PM       0      0.00      0.00      1.00      0.00      0.00     99.00
03:25:04 PM       1      1.00      0.00      1.00      0.00      0.00     98.00
03:25:04 PM       2      0.99      0.00      0.00      0.00      0.00     99.01
03:25:04 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:25:04 PM       4      0.00      0.00      1.03      0.00      0.00     98.97
03:25:04 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
03:25:04 PM       6      0.00      0.00      1.00      0.00      0.00     99.00
03:25:04 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

03:25:04 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:25:05 PM     all      0.13      0.00      0.13      0.00      0.00     99.75
03:25:05 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
03:25:05 PM       1      1.01      0.00      0.00      0.00      0.00     98.99
03:25:05 PM       2      0.00      0.00      1.00      0.00      0.00     99.00
03:25:05 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:25:05 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
03:25:05 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
03:25:05 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
03:25:05 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

03:25:05 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:25:06 PM     all      0.25      0.00      0.00      0.00      0.00     99.75
03:25:06 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
03:25:06 PM       1      1.00      0.00      0.00      0.00      0.00     99.00
03:25:06 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
03:25:06 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:25:06 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
03:25:06 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
03:25:06 PM       6      0.00      0.00      0.99      0.00      0.00     99.01
03:25:06 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

03:25:06 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:25:07 PM     all      0.38      0.00      0.50      0.00      0.00     99.12
03:25:07 PM       0      0.00      0.00      1.00      0.00      0.00     99.00
03:25:07 PM       1      1.98      0.00      0.99      0.00      0.00     97.03
03:25:07 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
03:25:07 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:25:07 PM       4      1.01      0.00      2.02      0.00      0.00     96.97
03:25:07 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
03:25:07 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
03:25:07 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

03:25:07 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:25:08 PM     all      0.38      0.00      0.38      0.13      0.00     99.12
03:25:08 PM       0      0.99      0.00      0.99      0.00      0.00     98.02
03:25:08 PM       1      2.00      0.00      0.00      0.00      0.00     98.00
03:25:08 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
03:25:08 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:25:08 PM       4      1.00      0.00      2.00      0.00      0.00     97.00
03:25:08 PM       5      0.00      0.00      0.00      1.00      0.00     99.00
03:25:08 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
03:25:08 PM       7      0.00      0.00      0.99      0.00      0.00     99.01

03:25:08 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:25:09 PM     all      0.13      0.00      0.50      0.00      0.00     99.37
03:25:09 PM       0      0.00      0.00      0.99      0.00      0.00     99.01
03:25:09 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
03:25:09 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
03:25:09 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:25:09 PM       4      0.00      0.00      1.04      0.00      0.00     98.96
03:25:09 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
03:25:09 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
03:25:09 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

03:25:09 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:25:10 PM     all      0.13      0.00      0.38      0.00      0.00     99.50
03:25:10 PM       0      0.00      0.00      1.98      0.00      0.00     98.02
03:25:10 PM       1      1.00      0.00      0.00      0.00      0.00     99.00
03:25:10 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
03:25:10 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:25:10 PM       4      0.00      0.00      1.02      0.00      0.00     98.98
03:25:10 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
03:25:10 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
03:25:10 PM       7      0.00      0.00      0.99      0.00      0.00     99.01

03:25:10 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
