Linux 4.15.0-33-generic (uspanzto20) 	09/07/2018 	_x86_64_	(8 CPU)

03:19:36 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:19:37 PM     all      2.33      0.00      0.49      0.00      0.00     97.18
03:19:37 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
03:19:37 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
03:19:37 PM       2      2.00      0.00      0.00      0.00      0.00     98.00
03:19:37 PM       3      1.98      0.00      0.99      0.00      0.00     97.03
03:19:37 PM       4     13.16      0.00      1.75      0.00      0.00     85.09
03:19:37 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
03:19:37 PM       6      0.00      0.00      1.00      0.00      0.00     99.00
03:19:37 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

03:19:37 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:19:38 PM     all      1.75      0.00      0.50      0.00      0.00     97.75
03:19:38 PM       0      3.00      0.00      2.00      0.00      0.00     95.00
03:19:38 PM       1      1.01      0.00      0.00      0.00      0.00     98.99
03:19:38 PM       2      1.01      0.00      0.00      0.00      0.00     98.99
03:19:38 PM       3      1.98      0.00      0.99      0.00      0.00     97.03
03:19:38 PM       4      1.98      0.00      0.99      0.00      0.00     97.03
03:19:38 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
03:19:38 PM       6      2.00      0.00      0.00      0.00      0.00     98.00
03:19:38 PM       7      1.00      0.00      1.00      0.00      0.00     98.00

03:19:38 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:19:39 PM     all      0.37      0.00      0.50      0.00      0.00     99.13
03:19:39 PM       0      0.99      0.00      0.00      0.00      0.00     99.01
03:19:39 PM       1      0.99      0.00      0.99      0.00      0.00     98.02
03:19:39 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
03:19:39 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:19:39 PM       4      1.00      0.00      2.00      0.00      0.00     97.00
03:19:39 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
03:19:39 PM       6      0.00      0.00      1.00      0.00      0.00     99.00
03:19:39 PM       7      0.99      0.00      0.00      0.00      0.00     99.01

03:19:39 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:19:40 PM     all      0.25      0.00      0.13      0.00      0.00     99.62
03:19:40 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
03:19:40 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
03:19:40 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
03:19:40 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:19:40 PM       4      1.00      0.00      1.00      0.00      0.00     98.00
03:19:40 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
03:19:40 PM       6      1.01      0.00      0.00      0.00      0.00     98.99
03:19:40 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

03:19:40 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:19:41 PM     all      0.25      0.00      0.00      0.13      0.00     99.62
03:19:41 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
03:19:41 PM       1      1.05      0.00      0.00      0.00      0.00     98.95
03:19:41 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
03:19:41 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:19:41 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
03:19:41 PM       5      0.00      0.00      0.00      1.00      0.00     99.00
03:19:41 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
03:19:41 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

03:19:41 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:19:42 PM     all      0.13      0.00      0.50      0.00      0.00     99.37
03:19:42 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
03:19:42 PM       1      0.00      0.00      5.00      0.00      0.00     95.00
03:19:42 PM       2      1.00      0.00      0.00      0.00      0.00     99.00
03:19:42 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:19:42 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
03:19:42 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
03:19:42 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
03:19:42 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

03:19:42 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:19:43 PM     all      0.38      0.00      0.50      0.00      0.00     99.12
03:19:43 PM       0      0.00      0.00      1.00      0.00      0.00     99.00
03:19:43 PM       1      1.04      0.00      1.04      0.00      0.00     97.92
03:19:43 PM       2      1.00      0.00      0.00      0.00      0.00     99.00
03:19:43 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:19:43 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
03:19:43 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
03:19:43 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
03:19:43 PM       7      0.00      0.00      1.00      0.00      0.00     99.00

03:19:43 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:19:44 PM     all      0.25      0.00      0.00      0.00      0.00     99.75
03:19:44 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
03:19:44 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
03:19:44 PM       2      1.01      0.00      0.00      0.00      0.00     98.99
03:19:44 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:19:44 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
03:19:44 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
03:19:44 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
03:19:44 PM       7      0.99      0.00      0.00      0.00      0.00     99.01

03:19:44 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:19:45 PM     all      0.25      0.00      0.25      0.00      0.00     99.50
03:19:45 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
03:19:45 PM       1      1.03      0.00      1.03      0.00      0.00     97.94
03:19:45 PM       2      1.01      0.00      0.00      0.00      0.00     98.99
03:19:45 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:19:45 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
03:19:45 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
03:19:45 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
03:19:45 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

03:19:45 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:19:46 PM     all      0.13      0.00      0.25      0.13      0.00     99.50
