Time,CPU,%user,%nice,%system,%iowait,%steal,%idle
2018-09-07 15:24:53,0,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:24:53,1,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:24:53,2,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:24:53,3,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:24:53,4,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:24:53,5,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:24:53,6,1.01,0.00,0.00,0.00,0.00,98.99
2018-09-07 15:24:53,7,2.02,0.00,0.00,0.00,0.00,97.98
2018-09-07 15:24:54,0,1.98,0.00,0.99,0.00,0.00,97.03
2018-09-07 15:24:54,1,1.01,0.00,0.00,0.00,0.00,98.99
2018-09-07 15:24:54,2,2.02,0.00,0.00,0.00,0.00,97.98
2018-09-07 15:24:54,3,0.99,0.00,0.99,0.00,0.00,98.02
2018-09-07 15:24:54,4,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:24:54,5,1.98,0.00,0.99,0.00,0.00,97.03
2018-09-07 15:24:54,6,1.01,0.00,0.00,0.00,0.00,98.99
2018-09-07 15:24:54,7,0.00,0.00,1.00,0.00,0.00,99.00
2018-09-07 15:24:55,0,1.01,0.00,1.01,0.00,0.00,97.98
2018-09-07 15:24:55,1,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:24:55,2,2.00,0.00,0.00,0.00,0.00,98.00
2018-09-07 15:24:55,3,1.03,0.00,0.00,0.00,0.00,98.97
2018-09-07 15:24:55,4,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:24:55,5,3.00,0.00,0.00,0.00,0.00,97.00
2018-09-07 15:24:55,6,0.99,0.00,0.99,0.00,0.00,98.02
2018-09-07 15:24:55,7,1.00,0.00,0.00,0.00,0.00,99.00
2018-09-07 15:24:56,0,0.00,0.00,0.99,0.00,0.00,99.01
2018-09-07 15:24:56,1,1.96,0.00,0.98,0.00,0.00,97.06
2018-09-07 15:24:56,2,0.99,0.00,0.99,0.00,0.00,98.02
2018-09-07 15:24:56,3,0.99,0.00,1.98,0.00,0.00,97.03
2018-09-07 15:24:56,4,0.98,0.00,0.98,0.00,0.00,98.04
2018-09-07 15:24:56,5,1.00,0.00,0.00,0.00,0.00,99.00
2018-09-07 15:24:56,6,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:24:56,7,0.00,0.00,1.01,0.00,0.00,98.99
2018-09-07 15:24:57,0,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:24:57,1,2.02,0.00,0.00,0.00,0.00,97.98
2018-09-07 15:24:57,2,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:24:57,3,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:24:57,4,0.99,0.00,0.99,0.00,0.00,98.02
2018-09-07 15:24:57,5,0.00,0.00,1.00,0.00,0.00,99.00
2018-09-07 15:24:57,6,0.00,0.00,1.00,0.00,0.00,99.00
2018-09-07 15:24:57,7,1.00,0.00,0.00,0.00,0.00,99.00
2018-09-07 15:24:58,0,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:24:58,1,1.00,0.00,0.00,1.00,0.00,98.00
2018-09-07 15:24:58,2,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:24:58,3,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:24:58,4,0.00,0.00,1.03,0.00,0.00,98.97
2018-09-07 15:24:58,5,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:24:58,6,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:24:58,7,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:24:59,0,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:24:59,1,1.00,0.00,0.00,0.00,0.00,99.00
2018-09-07 15:24:59,2,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:24:59,3,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:24:59,4,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:24:59,5,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:24:59,6,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:24:59,7,0.00,0.00,0.00,0.00,0.00,100.00
2018-09-07 15:25:00,0,0.00,0.00,0.00,0.00,0.00,100.00
