Time,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
2018-09-07 14:28:59,enp0s31f6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:28:59,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:28:59,wlp3s0,3.00,0.00,1.29,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:29:00,enp0s31f6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:29:00,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:29:00,wlp3s0,4.00,0.00,0.53,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:29:01,enp0s31f6,25.00,23.00,10.00,5.97,0.00,0.00,0.00,0.08
2018-09-07 14:29:01,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:29:01,wlp3s0,3.00,1.00,0.24,0.07,0.00,0.00,0.00,0.00
2018-09-07 14:29:02,enp0s31f6,2734.00,1128.00,4031.63,78.61,0.00,0.00,0.00,33.03
2018-09-07 14:29:02,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:29:02,wlp3s0,9.00,0.00,1.10,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:29:03,enp0s31f6,4535.00,1817.00,6699.13,124.27,0.00,0.00,0.00,54.88
2018-09-07 14:29:03,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:29:03,wlp3s0,7.00,0.00,1.92,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:29:04,enp0s31f6,4297.00,1726.00,6348.07,118.01,0.00,0.00,0.00,52.00
2018-09-07 14:29:04,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:29:04,wlp3s0,11.00,0.00,2.22,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:29:05,enp0s31f6,4339.00,1745.00,6413.99,119.30,0.00,0.00,0.00,52.54
2018-09-07 14:29:05,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:29:05,wlp3s0,20.00,0.00,5.22,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:29:06,enp0s31f6,4538.00,1829.00,6709.57,125.03,0.00,0.00,0.00,54.96
2018-09-07 14:29:06,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:29:06,wlp3s0,7.00,0.00,2.10,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:29:07,enp0s31f6,4389.00,1766.00,6493.57,120.72,0.00,0.00,0.00,53.20
2018-09-07 14:29:07,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:29:07,wlp3s0,6.00,0.00,1.38,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:29:08,enp0s31f6,4298.00,1725.00,6353.79,117.92,0.00,0.00,0.00,52.05
2018-09-07 14:29:08,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:29:08,wlp3s0,6.00,0.00,1.38,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:29:09,enp0s31f6,4473.00,1801.00,6612.48,123.15,0.00,0.00,0.00,54.17
2018-09-07 14:29:09,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:29:09,wlp3s0,14.00,1.00,2.46,0.07,0.00,0.00,0.00,0.00
2018-09-07 14:29:10,enp0s31f6,4509.00,1811.00,6660.93,123.86,0.00,0.00,0.00,54.57
2018-09-07 14:29:10,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:29:10,wlp3s0,10.00,0.00,2.74,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:29:11,enp0s31f6,4298.00,1716.00,6349.65,117.32,0.00,0.00,0.00,52.02
2018-09-07 14:29:11,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:29:11,wlp3s0,2.00,0.00,0.79,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:29:12,enp0s31f6,4365.00,1763.00,6451.80,120.53,0.00,0.00,0.00,52.85
2018-09-07 14:29:12,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:29:12,wlp3s0,3.00,0.00,1.31,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:29:13,enp0s31f6,4539.00,1832.00,6713.73,125.32,0.00,0.00,0.00,55.00
2018-09-07 14:29:13,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:29:13,wlp3s0,3.00,0.00,0.44,0.00,0.00,0.00,0.00,0.00
