ByteBuffer,ImageBuffer,OpenCVBuffer
107.672,107.927,96.913
102.911,105.015,101.925
102.85,102.274,102.939
102.931,102.72,102.908
102.955,102.955,103.134
103.047,103.183,102.834
103.102,103.263,102.859
103.125,102.608,103.419
103.208,102.793,102.881
102.719,103.18,103.148
103.008,102.851,102.831
103.247,103.157,102.971
103.326,103.231,103.32
102.531,103.001,102.672
104.263,102.886,102.92
101.676,103.146,103.452
103.258,103.119,102.835
103.034,102.521,102.726
102.702,103.409,103.272
104.078,102.79,102.81
102.746,104.098,102.866
103.04,101.556,103.318
103.126,103.352,103.295
101.844,103.418,102.294
104.312,102.565,103.239
102.346,103.196,104.074
102.77,102.96,101.902
102.783,102.68,102.788
103.306,103.162,103.639
102.571,102.775,102.63
103.451,103.227,102.845
102.907,102.761,103.109
102.773,103.53,102.935
102.791,103.084,103.129
103.198,102.89,102.844
102.847,102.498,104.015
103.041,103.352,102.016
102.974,102.6,103.047
103.041,103.489,103.243
102.894,102.608,103.02
103.365,103.225,102.605
102.945,102.682,103.378
102.942,103.589,102.559
103.945,102.478,102.978
101.772,102.931,103.05
103.436,102.99,103.231
104.335,105.019,104.679
101.439,101.47,101.776
103.018,102.469,102.316
103.139,103.401,103.013
103.552,102.945,103.12
102.704,102.668,103.115
103.196,103.839,102.776
104.094,102.278,102.984
102.268,103.379,102.988
102.599,102.6,103.634
103.114,103.122,102.699
102.884,103.129,102.88
103.562,102.788,102.944
102.507,104.555,102.962
102.49,101.365,102.994
103.138,103.173,103.028
102.925,103.543,102.914
103.108,102.599,103.113
103.058,103.03,103.265
102.677,103.086,102.885
103.414,102.662,102.7
102.837,103.027,103.695
103.114,102.771,102.481
102.552,103.762,103.046
103.128,102.237,102.927
103.118,103.251,103.303
103.084,103.205,102.798
103.166,102.835,102.688
103.281,102.684,103.311
103.08,103.514,102.811
102.586,102.763,103.223
103.574,102.969,102.888
102.439,103.272,103.321
103.011,102.894,102.674
103.024,102.84,102.745
103.094,103.13,103.069
102.947,102.858,103.084
102.754,102.936,102.632
103.455,103.11,103.492
102.739,102.784,102.682
102.962,103.192,103.346
103.541,102.868,102.752
102.97,102.998,102.914
102.472,103.356,103.2
103.224,102.669,102.903
102.699,103.327,103.123
102.916,102.689,103.139
103.022,103.624,102.682
102.916,102.53,101.856
104.861,104.229,104.724
101.404,101.854,102.491
102.876,102.779,102.934
102.836,103.307,103.319
103.002,102.938,102.925
