ByteBuffer,ImageBuffer,OpenCVBuffer
95.673,86.7538,96.5242
98.8167,104.667,99.7479
99.4287,99.9376,98.5895
99.2765,98.9855,97.225
95.3918,99.5673,95.3138
105.317,98.5581,105.57
98.9944,104.213,94.5376
101.335,97.3489,105.67
99.5609,95.8313,94.8801
98.8202,106.021,107.113
95.217,99.3051,92.8453
106.503,99.8595,104.238
95.0249,95.1006,97.5635
105.953,106,104.07
95.5448,97.1677,95.4479
103.462,96.1527,105.516
98.5606,108.156,97.3842
95.351,99.1478,95.4502
106.315,99.4025,105.632
99.7283,98.121,96.3531
99.2397,94.5767,104.952
95.2172,106.461,94.3979
105.691,99.1192,105.948
95.4525,95.5191,97.9481
105.807,105.624,96.0683
95.0481,95.51,104.606
105.806,106.003,99.8804
97.8802,99.2093,99.969
99.6973,100.308,99.3908
99.5824,98.8908,100.109
100.02,95.9261,99.1118
99.1507,104,99.9359
97.5639,100.723,97.4124
106.05,99.7707,105.591
98.8449,99.7794,100.813
96.0125,101.047,99.5757
104.912,99.5575,98.0936
98.111,97.2061,94.9526
99.6754,96.033,105.65
99.2519,104.297,95.5897
99.6846,95.3092,105.881
95.4302,106.081,99.0711
105.585,94.8245,99.4898
95.8309,106.214,99.8273
105.212,99.3998,99.0066
96.0005,94.7275,100.408
103.576,106.041,100.025
98.7579,97.6243,98.6752
95.4427,95.9572,95.6384
105.616,104.566,105.774
99.5414,95.0239,95.4948
99.435,106.449,105.266
99.847,95.2731,95.3679
95.0428,105.012,106.052
106.187,95.2259,96.2427
99.3368,105.173,95.7911
95.4102,97.5956,106.592
106.534,95.5915,94.9381
94.751,105.276,107.673
105.12,95.6564,92.7818
97.4616,105.135,105.813
95.2248,95.3676,99.3871
105.869,104.922,99.2497
99.0624,97.5394,99.1327
95.1979,94.8805,99.9215
105.155,105.975,95.4415
95.9225,96.3882,105.853
104.195,105.999,96.651
96.806,94.7898,95.5184
105.936,105.291,105.426
94.9075,97.0298,95.5769
105.127,95.0343,105.312
97.6184,105.212,99.8687
95.5886,95.4485,94.9369
106.237,105.661,104.07
98.3479,95.6718,96.2338
99.6647,106.079,104.87
95.9655,97.2471,97.0448
105.839,95.2519,96.3063
98.7987,105.61,106.914
100.709,94.3271,93.5883
97.934,106.397,103.956
97.7057,95.8605,97.8067
105.606,105.794,105.124
97.0808,96.6274,95.3249
99.6331,100.706,106.689
94.8988,100.338,96.2937
107.103,100.053,95.5379
94.5373,99.6153,105.315
105.597,100.118,99.4938
95.8957,95.7266,99.5971
105.185,104.945,96.6098
96.762,95.207,104.24
94.6502,105.492,95.9014
106.183,94.7656,103.103
95.2599,104.815,97.4067
105.728,99.7991,103.693
95.9888,99.2024,97.4547
104.835,94.6403,96.6505
99.2355,105.396,105.824
