ByteBuffer,ImageBuffer,OpenCVBuffer
104.871,94.7983,95.2198
103.07,103.162,103.393
102.783,102.91,102.459
102.82,103.297,102.99
102.935,102.555,103.37
103.361,102.94,102.981
102.723,103.079,102.712
102.81,103.054,103.443
103.17,103.021,102.721
102.871,103.026,102.713
103.285,102.866,103.33
102.805,103.105,102.708
103.048,102.891,104.213
102.987,103.015,101.991
102.847,102.972,102.915
103.229,103.516,103.086
102.812,102.514,102.876
102.919,102.997,103.35
102.875,103.118,103.087
103.198,103.267,102.705
103.206,102.71,102.861
102.619,102.891,103.125
103.362,103.1,104.323
102.639,103.118,101.398
103.165,102.596,103.376
102.95,103.527,103.105
102.984,102.665,102.732
102.977,102.884,103.28
103.33,103.07,102.831
102.795,103.023,102.979
102.675,103.129,102.925
103.276,102.78,102.911
103.074,104.04,103.244
102.88,102.162,103.148
103.341,102.964,102.591
103.746,103.253,103.198
101.9,103.125,103.051
102.952,102.826,103.053
103.28,102.633,102.938
103.081,103.128,102.629
102.935,102.979,103.2
102.718,102.976,103.055
103.197,103.169,102.93
103.081,102.908,102.775
102.767,103.02,103.279
104.411,103.283,103.092
101.578,102.53,103.099
103.01,102.937,102.756
103.142,103.377,103.012
103.066,102.673,102.917
102.86,103.108,103.213
103.086,103.264,103.951
102.913,102.801,101.973
103.005,103.063,102.938
102.699,103.022,103.039
103.421,103.041,102.988
102.758,103.178,103.536
103.139,102.568,102.567
103.123,103.111,102.991
102.987,103.042,103.01
102.749,102.954,102.991
103.016,102.887,102.979
103.028,103.143,102.92
103.109,102.945,103.191
102.908,103.005,102.955
103.027,102.857,102.96
103.097,102.999,103.203
102.977,103.071,102.709
102.938,102.994,103.151
103.216,103.365,102.948
103.083,102.841,102.929
102.787,103.02,103.075
103.092,103.035,102.813
102.935,102.96,103.031
102.901,102.885,103.386
103.104,103.024,102.938
102.937,103.019,102.741
102.972,102.988,102.994
103.039,102.915,103.163
102.926,102.951,102.813
102.974,103.11,103.886
102.916,102.726,102.133
103.226,103.601,103.051
102.947,102.93,102.793
102.842,102.711,103.178
103.187,103.261,103.185
102.907,102.678,102.728
103.021,102.932,102.959
103.231,103.253,103.251
102.918,102.929,102.701
102.843,102.984,104.607
102.906,103.002,101.47
103.063,103.296,103.184
103.098,102.858,102.769
102.812,102.734,103.37
105.557,103.808,104.34
100.502,102.22,101.247
103.193,102.991,103.115
102.925,103.071,103.209
102.906,102.983,103.074
